iteration,timestamp,condition,withclock,case_established,success,error_stage
1,2026-07-21T19:11:43+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
2,2026-07-21T19:12:14+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
3,2026-07-21T19:12:44+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
4,2026-07-21T19:13:14+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
5,2026-07-21T19:13:44+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
6,2026-07-21T19:14:14+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
7,2026-07-21T19:14:45+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
8,2026-07-21T19:15:15+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
9,2026-07-21T19:15:45+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
10,2026-07-21T19:16:16+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
11,2026-07-21T19:16:46+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
12,2026-07-21T19:17:16+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
13,2026-07-21T19:17:46+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
14,2026-07-21T19:18:16+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
15,2026-07-21T19:18:47+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
16,2026-07-21T19:19:17+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
17,2026-07-21T19:19:48+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
18,2026-07-21T19:20:18+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
19,2026-07-21T19:20:48+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
20,2026-07-21T19:21:18+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
21,2026-07-21T19:21:48+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
22,2026-07-21T19:22:19+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
23,2026-07-21T19:22:49+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
24,2026-07-21T19:23:19+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
25,2026-07-21T19:23:49+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
26,2026-07-21T19:24:19+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
27,2026-07-21T19:24:50+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
28,2026-07-21T19:25:20+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
29,2026-07-21T19:25:50+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
30,2026-07-21T19:26:20+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
31,2026-07-21T19:26:51+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
32,2026-07-21T19:27:21+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
33,2026-07-21T19:27:51+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
34,2026-07-21T19:28:21+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
35,2026-07-21T19:28:52+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
36,2026-07-21T19:29:22+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
37,2026-07-21T19:29:52+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
38,2026-07-21T19:30:22+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
39,2026-07-21T19:30:53+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
40,2026-07-21T19:31:23+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
41,2026-07-21T19:31:53+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
42,2026-07-21T19:32:23+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
43,2026-07-21T19:32:54+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
44,2026-07-21T19:33:24+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
45,2026-07-21T19:33:54+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
46,2026-07-21T19:34:24+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
47,2026-07-21T19:34:55+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
48,2026-07-21T19:35:25+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
49,2026-07-21T19:35:55+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
50,2026-07-21T19:36:26+02:00,case_lkgt_acceptance,0,TRUE,TRUE,
