iteration,timestamp,condition,withclock,case_established,success,error_stage
1,2026-07-21T19:36:56+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
2,2026-07-21T19:37:26+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
3,2026-07-21T19:37:56+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
4,2026-07-21T19:38:26+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
5,2026-07-21T19:38:57+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
6,2026-07-21T19:39:27+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
7,2026-07-21T19:39:57+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
8,2026-07-21T19:40:27+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
9,2026-07-21T19:40:57+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
10,2026-07-21T19:41:28+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
11,2026-07-21T19:41:58+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
12,2026-07-21T19:42:28+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
13,2026-07-21T19:42:58+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
14,2026-07-21T19:43:29+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
15,2026-07-21T19:43:59+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
16,2026-07-21T19:44:29+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
17,2026-07-21T19:44:59+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
18,2026-07-21T19:45:29+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
19,2026-07-21T19:46:00+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
20,2026-07-21T19:46:30+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
21,2026-07-21T19:47:00+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
22,2026-07-21T19:47:30+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
23,2026-07-21T19:48:00+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
24,2026-07-21T19:48:31+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
25,2026-07-21T19:49:01+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
26,2026-07-21T19:49:31+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
27,2026-07-21T19:50:01+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
28,2026-07-21T19:50:32+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
29,2026-07-21T19:51:02+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
30,2026-07-21T19:51:32+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
31,2026-07-21T19:52:02+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
32,2026-07-21T19:52:32+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
33,2026-07-21T19:53:03+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
34,2026-07-21T19:53:33+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
35,2026-07-21T19:54:03+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
36,2026-07-21T19:54:33+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
37,2026-07-21T19:55:03+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
38,2026-07-21T19:55:34+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
39,2026-07-21T19:56:04+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
40,2026-07-21T19:56:34+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
41,2026-07-21T19:57:04+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
42,2026-07-21T19:57:34+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
43,2026-07-21T19:58:05+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
44,2026-07-21T19:58:36+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
45,2026-07-21T19:59:02+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
46,2026-07-21T19:59:33+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
47,2026-07-21T20:00:04+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
48,2026-07-21T20:00:34+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
49,2026-07-21T20:01:05+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
50,2026-07-21T20:01:35+02:00,case_realclock_control,1,FALSE,TRUE,rejected_certificate_expired
