iteration,timestamp,condition,setutc_outcome,setutc_success_bool,case_result,correction_outcome,error_stage
1,2026-07-23T21:06:48,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
2,2026-07-23T21:07:24,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
3,2026-07-23T21:08:00,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
4,2026-07-23T21:08:35,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
5,2026-07-23T21:09:10,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
6,2026-07-23T21:09:45,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
7,2026-07-23T21:10:20,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
8,2026-07-23T21:10:56,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
9,2026-07-23T21:11:31,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
10,2026-07-23T21:12:06,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
11,2026-07-23T21:12:41,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
12,2026-07-23T21:13:17,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
13,2026-07-23T21:13:52,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
14,2026-07-23T21:14:28,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
15,2026-07-23T21:15:03,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
16,2026-07-23T21:15:38,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
17,2026-07-23T21:16:13,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
18,2026-07-23T21:16:48,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
19,2026-07-23T21:17:23,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
20,2026-07-23T21:17:58,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
21,2026-07-23T21:18:33,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
22,2026-07-23T21:19:08,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
23,2026-07-23T21:19:43,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
24,2026-07-23T21:20:18,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
25,2026-07-23T21:20:54,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
26,2026-07-23T21:21:31,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
27,2026-07-23T21:22:07,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
28,2026-07-23T21:22:43,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
29,2026-07-23T21:23:19,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
30,2026-07-23T21:23:55,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
31,2026-07-23T21:24:31,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
32,2026-07-23T21:25:07,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
33,2026-07-23T21:25:42,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
34,2026-07-23T21:26:18,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
35,2026-07-23T21:26:53,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
36,2026-07-23T21:27:28,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
37,2026-07-23T21:28:03,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
38,2026-07-23T21:28:38,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
39,2026-07-23T21:29:14,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
40,2026-07-23T21:29:49,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
41,2026-07-23T21:30:25,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
42,2026-07-23T21:31:01,utctime_forward_attack,success_inferred_from_victim_log,TRUE,rejected_expired,unknown_failure,
43,2026-07-23T21:31:36,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
44,2026-07-23T21:32:12,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
45,2026-07-23T21:32:47,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
46,2026-07-23T21:33:23,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
47,2026-07-23T21:33:59,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
48,2026-07-23T21:34:35,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
49,2026-07-23T21:35:10,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
50,2026-07-23T21:35:45,utctime_forward_attack,success_confirmed,TRUE,rejected_expired,unknown_failure,
